index,package,category,data_type,key,parent_key
10174,MAIN_PACKAGE,STREAMLINE,NUMBER,MAIN_SL_TRACES_REALTIME_WORKER_BATCH_SIZE,NULL
10175,MAIN_PACKAGE,STREAMLINE,NUMBER,MAIN_SL_TRACES_START_BLOCK,NULL
10191,SCORES_PACKAGE,NULL,BOOLEAN,SCORES_FULL_RELOAD_ENABLED,NULL
10192,SCORES_PACKAGE,NULL,NUMBER,SCORES_LIMIT_DAYS,NULL
10193,CURATED_PACKAGE,VERTEX,STRING,USDC,CURATED_VERTEX_TOKEN_MAPPING
10194,CURATED_PACKAGE,VERTEX,STRING,WETH,CURATED_VERTEX_TOKEN_MAPPING
10195,CURATED_PACKAGE,VERTEX,STRING,wMNT,CURATED_VERTEX_TOKEN_MAPPING
10196,CURATED_PACKAGE,VERTEX,STRING,METH,CURATED_VERTEX_TOKEN_MAPPING
10197,CURATED_PACKAGE,VERTEX,STRING,CURATED_VERTEX_CLEARINGHOUSE_CONTRACT,NULL
10198,CURATED_PACKAGE,VERTEX,STRING,CURATED_VERTEX_OFFCHAIN_EXCHANGE_CONTRACT,NULL
